,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_0,job_1,marital_0,marital_1,education_0,education_1,default_0,default_1,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,month_0,month_1,day_of_week_0,day_of_week_1,poutcome_0,poutcome_1
0,27,2,999,0,1.4,93.918,-42.7,4.962,5228.1,0.18181818181818182,0.019374068554396422,0.1473972602739726,0.009863013698630137,0.14607464607464607,0.010296010296010296,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.1515934539190353,0.012058570198105082,0.15755855216465578,0.0099361249112846,0.15962852637112318,0.005081478885579113
1,55,6,999,0,1.4,93.918,-42.7,4.966,5228.1,0.17446524064171123,0.010026737967914439,0.16350184956843403,0.005425400739827373,0.1638418079096045,0.01694915254237288,0.15991471215351813,0.012082444918265814,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.15769712140175218,0.007509386733416771,0.1515934539190353,0.012058570198105082,0.15755855216465578,0.0099361249112846,0.15962852637112318,0.005081478885579113
2,57,5,999,1,-1.8,92.893,-46.2,1.25,5099.1,0.17755102040816326,0.024489795918367346,0.16350184956843403,0.005425400739827373,0.1638418079096045,0.01694915254237288,0.15991471215351813,0.012082444918265814,0.15045548045841906,0.006464883925947693,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.1606586559857588,0.00801068090787717,0.17719442165709598,0.009844134536505332,0.15220483641536273,0.01849217638691323
3,41,4,999,0,-1.8,92.893,-46.2,1.244,5099.1,0.1423444976076555,0.008373205741626795,0.1473972602739726,0.009863013698630137,0.14607464607464607,0.010296010296010296,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.1606586559857588,0.00801068090787717,0.1436950146627566,0.010997067448680353,0.15962852637112318,0.005081478885579113
4,63,1,999,1,-2.9,92.469,-33.6,1.072,5076.2,0.15053763440860216,0.043010752688172046,0.15984147952443858,0.015852047556142668,0.16105054509415262,0.00842418235877106,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15692007797270954,0.01364522417153996,0.1574095958402269,0.0056724178681162845,0.1515934539190353,0.012058570198105082,0.15755855216465578,0.0099361249112846,0.15220483641536273,0.01849217638691323
5,30,1,999,0,1.4,93.918,-42.7,4.957,5228.1,0.1423444976076555,0.008373205741626795,0.16350184956843403,0.005425400739827373,0.16105054509415262,0.00842418235877106,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.1515934539190353,0.012058570198105082,0.17719442165709598,0.009844134536505332,0.15962852637112318,0.005081478885579113
6,62,2,999,0,-1.8,92.843,-50.0,1.52,5099.1,0.1423444976076555,0.008373205741626795,0.16350184956843403,0.005425400739827373,0.14607464607464607,0.010296010296010296,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.15769712140175218,0.007509386733416771,0.18691588785046728,0.09345794392523364,0.1436950146627566,0.010997067448680353,0.15962852637112318,0.005081478885579113
7,50,11,999,0,-0.1,93.2,-42.0,4.021,5195.8,0.17755102040816326,0.024489795918367346,0.15984147952443858,0.015852047556142668,0.16105054509415262,0.00842418235877106,0.15673500670626556,0.004790189691511784,0.15045548045841906,0.006464883925947693,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.18914956011730205,0.017595307917888565,0.17719442165709598,0.009844134536505332,0.15962852637112318,0.005081478885579113
8,29,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,0.1623083859332732,0.009918845807033363,0.1473972602739726,0.009863013698630137,0.15873015873015872,0.013756613756613757,0.15673500670626556,0.004790189691511784,0.16508662961752207,0.006538084341288003,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.14682080924855492,0.016184971098265895,0.1436950146627566,0.010997067448680353,0.15962852637112318,0.005081478885579113
9,39,2,999,2,-1.8,92.893,-46.2,1.354,5099.1,0.1423444976076555,0.008373205741626795,0.16350184956843403,0.005425400739827373,0.14607464607464607,0.010296010296010296,0.15673500670626556,0.004790189691511784,0.1989247311827957,0.053763440860215055,0.1989247311827957,0.053763440860215055,0.1574095958402269,0.0056724178681162845,0.1606586559857588,0.00801068090787717,0.1436950146627566,0.010997067448680353,0.15220483641536273,0.01849217638691323
10,37,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,0.17446524064171123,0.010026737967914439,0.16350184956843403,0.005425400739827373,0.15873015873015872,0.013756613756613757,0.15673500670626556,0.004790189691511784,0.15045548045841906,0.006464883925947693,0.15746872700515085,0.0051508462104488595,0.1574095958402269,0.0056724178681162845,0.17579908675799086,0.02511415525114155,0.1436950146627566,0.010997067448680353,0.15962852637112318,0.005081478885579113
